Tourist ID,Age,Interests,Preferred Tour Duration,Accessibility,Site Name,Sites Visited,Tour Duration,Route ID,Tourist Rating,System Response Time,Recommendation Accuracy,VR Experience Quality,Satisfaction
1,48,"['Architecture', 'Art', 'History']",5,False,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",7,1000,1.6,3.73,97,4.5,3
2,37,"['Cultural', 'Nature']",6,False,Colosseum,['Great Wall of China'],1,2000,2.6,2.89,90,4.5,3
3,43,"['History', 'Art', 'Architecture']",6,True,Machu Picchu,['Eiffel Tower'],2,3000,1.7,2.22,94,4.7,3
4,46,"['Cultural', 'Art', 'Architecture']",8,False,Colosseum,"['Machu Picchu', 'Taj Mahal']",5,4000,2.0,2.34,92,4.7,3
5,53,"['Architecture', 'Art']",5,True,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",7,5000,3.7,2.0,96,4.8,4
6,50,"['Architecture', 'History', 'Cultural']",4,False,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",4,6000,2.2,3.74,99,4.5,3
7,61,"['Architecture', 'History']",7,False,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",6,7000,4.1,4.66,93,4.5,4
8,23,"['Cultural', 'Architecture']",5,False,Eiffel Tower,['Colosseum'],2,8000,2.8,4.84,91,4.9,3
9,34,"['Cultural', 'Art']",5,True,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",6,9000,4.0,1.54,95,4.4,4
10,61,"['Nature', 'Architecture']",5,False,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",6,10000,3.8,3.59,95,4.7,4
11,27,"['Nature', 'Architecture']",4,False,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",6,11000,3.2,4.48,99,4.2,3
12,37,['Cultural'],3,True,Eiffel Tower,"['Colosseum', 'Machu Picchu']",5,12000,1.7,2.63,100,4.6,3
13,45,"['Nature', 'Cultural', 'Architecture']",8,True,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",6,13000,1.8,3.47,100,4.5,3
14,61,['Cultural'],8,True,Colosseum,['Eiffel Tower'],1,14000,4.3,3.48,91,4.4,4
15,60,"['Cultural', 'Architecture', 'Art']",4,True,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower']",6,15000,2.9,2.82,94,4.2,3
16,50,['Cultural'],7,False,Eiffel Tower,"['Great Wall of China', 'Machu Picchu', 'Colosseum']",8,16000,1.2,4.44,91,4.2,3
17,59,['Cultural'],7,True,Taj Mahal,"['Great Wall of China', 'Machu Picchu']",3,17000,2.1,2.12,95,4.3,3
18,18,"['Nature', 'Cultural']",6,True,Machu Picchu,"['Eiffel Tower', 'Colosseum']",6,18000,2.7,3.63,100,4.4,3
19,24,['History'],5,False,Taj Mahal,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",6,19000,2.6,2.63,86,4.7,3
20,63,"['Nature', 'Architecture']",8,False,Colosseum,['Great Wall of China'],2,20000,2.7,4.79,92,4.8,3
21,45,['Architecture'],6,True,Machu Picchu,['Taj Mahal'],2,21000,2.8,2.75,94,4.7,3
22,62,"['Nature', 'History', 'Cultural']",7,True,Colosseum,"['Machu Picchu', 'Eiffel Tower', 'Taj Mahal']",5,22000,3.3,2.65,96,4.0,3
23,65,"['Nature', 'Cultural']",8,True,Great Wall of China,['Colosseum'],3,23000,4.2,1.97,88,5.0,4
24,53,['Cultural'],6,True,Taj Mahal,"['Machu Picchu', 'Great Wall of China']",6,24000,3.0,4.02,97,4.4,3
25,26,['Cultural'],8,True,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",3,25000,2.4,3.42,90,4.7,3
26,63,"['Nature', 'Art']",3,False,Colosseum,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",6,26000,1.0,4.09,93,4.3,3
27,24,"['Nature', 'Art', 'Cultural']",3,True,Taj Mahal,"['Machu Picchu', 'Eiffel Tower']",4,27000,2.0,4.62,87,4.5,3
28,20,['History'],5,False,Eiffel Tower,"['Colosseum', 'Eiffel Tower', 'Great Wall of China']",4,28000,2.2,1.61,95,4.5,3
29,36,['Nature'],7,True,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",8,29000,4.1,4.57,91,4.6,4
30,49,"['Nature', 'History', 'Architecture']",6,True,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",2,30000,4.4,2.18,95,4.9,4
31,61,"['Art', 'Nature']",7,False,Taj Mahal,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",4,31000,4.8,4.94,95,4.7,5
32,54,['Art'],6,False,Great Wall of China,['Taj Mahal'],2,32000,1.9,2.18,94,4.3,3
33,29,"['Nature', 'Architecture']",8,True,Eiffel Tower,"['Eiffel Tower', 'Taj Mahal']",4,33000,1.4,2.36,87,4.1,3
34,44,"['Art', 'Cultural']",5,True,Colosseum,['Taj Mahal'],1,34000,4.9,4.43,88,4.2,5
35,35,"['History', 'Nature']",3,True,Colosseum,"['Colosseum', 'Great Wall of China', 'Machu Picchu']",7,35000,3.2,4.77,94,4.7,3
36,60,['Cultural'],7,False,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower']",4,36000,4.5,1.73,96,4.5,5
37,33,['Nature'],6,True,Colosseum,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",4,37000,1.7,2.05,85,4.2,3
38,63,"['Nature', 'Architecture']",4,False,Great Wall of China,['Eiffel Tower'],2,38000,4.5,3.6,97,4.6,5
39,47,['Cultural'],3,True,Great Wall of China,"['Machu Picchu', 'Eiffel Tower']",3,39000,1.8,3.1,96,4.2,3
40,23,['Architecture'],7,False,Taj Mahal,"['Machu Picchu', 'Colosseum', 'Great Wall of China']",8,40000,2.6,3.72,89,4.8,3
41,68,"['Architecture', 'Nature']",4,False,Eiffel Tower,['Machu Picchu'],2,41000,3.6,3.28,98,4.8,4
42,39,"['Cultural', 'Nature', 'Art']",5,True,Machu Picchu,"['Taj Mahal', 'Eiffel Tower', 'Great Wall of China']",6,42000,3.4,2.8,96,4.3,3
43,56,"['Art', 'Architecture']",5,False,Eiffel Tower,['Great Wall of China'],3,43000,2.6,4.56,87,4.6,3
44,29,"['Cultural', 'Art']",7,False,Great Wall of China,"['Great Wall of China', 'Machu Picchu']",5,44000,3.5,3.65,91,4.1,4
45,54,['History'],4,True,Colosseum,"['Taj Mahal', 'Eiffel Tower']",5,45000,2.0,3.54,87,4.7,3
46,67,['Nature'],7,False,Machu Picchu,"['Taj Mahal', 'Great Wall of China', 'Eiffel Tower']",6,46000,3.6,1.79,93,4.3,4
47,31,['Architecture'],5,True,Machu Picchu,"['Colosseum', 'Eiffel Tower', 'Taj Mahal']",6,47000,4.7,2.39,97,4.2,5
48,55,"['Art', 'Cultural', 'Architecture']",8,False,Machu Picchu,"['Eiffel Tower', 'Great Wall of China']",3,48000,3.0,2.58,97,4.9,3
49,49,"['History', 'Art', 'Nature']",6,False,Eiffel Tower,['Colosseum'],2,49000,1.8,3.09,100,4.0,3
50,43,"['Art', 'Cultural']",6,True,Eiffel Tower,['Taj Mahal'],1,50000,2.4,2.57,99,4.4,3
51,41,"['History', 'Art', 'Cultural']",7,True,Great Wall of China,"['Machu Picchu', 'Eiffel Tower']",5,51000,4.2,1.72,92,4.4,4
52,30,"['Nature', 'History', 'Architecture']",4,False,Eiffel Tower,"['Eiffel Tower', 'Machu Picchu']",2,52000,3.1,1.92,93,4.3,3
53,48,"['Architecture', 'Art', 'History']",4,False,Colosseum,"['Taj Mahal', 'Colosseum', 'Machu Picchu']",3,53000,3.0,2.05,89,4.2,3
54,41,"['Nature', 'Art']",8,True,Machu Picchu,"['Great Wall of China', 'Eiffel Tower']",4,54000,2.6,4.42,87,4.3,3
55,22,['Nature'],8,True,Machu Picchu,"['Great Wall of China', 'Taj Mahal']",5,55000,4.3,3.93,94,4.8,4
56,18,['Architecture'],5,False,Taj Mahal,"['Eiffel Tower', 'Great Wall of China']",4,56000,4.6,3.88,95,4.4,5
57,35,"['Art', 'Architecture', 'Nature']",6,False,Taj Mahal,['Colosseum'],3,57000,2.2,2.94,91,4.7,3
58,69,"['Cultural', 'Art']",6,False,Taj Mahal,['Great Wall of China'],2,58000,1.7,4.08,93,4.3,3
59,70,['History'],6,True,Machu Picchu,['Colosseum'],1,59000,2.9,3.05,94,4.4,3
60,25,['History'],8,False,Machu Picchu,['Great Wall of China'],3,60000,3.9,4.01,91,4.8,4
61,35,"['History', 'Cultural']",7,True,Eiffel Tower,['Taj Mahal'],1,61000,4.3,4.12,86,4.1,4
62,28,"['Cultural', 'History', 'Art']",7,False,Taj Mahal,"['Eiffel Tower', 'Colosseum']",4,62000,1.5,4.86,96,4.7,3
63,35,"['Cultural', 'Architecture', 'History']",3,False,Machu Picchu,['Great Wall of China'],2,63000,3.0,4.1,91,4.8,3
64,29,"['Architecture', 'Nature', 'History']",7,False,Colosseum,"['Colosseum', 'Great Wall of China']",4,64000,3.8,4.23,95,4.2,4
65,54,"['Art', 'Architecture']",7,False,Great Wall of China,"['Machu Picchu', 'Great Wall of China']",4,65000,4.3,4.25,91,4.3,4
66,55,"['History', 'Nature', 'Architecture']",8,False,Great Wall of China,['Eiffel Tower'],2,66000,2.8,2.65,98,4.7,3
67,47,"['Architecture', 'Nature', 'History']",8,False,Great Wall of China,['Eiffel Tower'],2,67000,1.7,2.83,88,4.0,3
68,37,"['Nature', 'Cultural']",5,True,Eiffel Tower,"['Colosseum', 'Taj Mahal']",3,68000,4.4,3.6,92,4.1,4
69,32,"['Cultural', 'Art']",7,False,Taj Mahal,"['Great Wall of China', 'Colosseum', 'Eiffel Tower']",7,69000,2.2,3.71,95,4.1,3
70,33,"['Nature', 'Cultural']",8,False,Taj Mahal,['Taj Mahal'],1,70000,1.9,3.95,98,4.8,3
71,35,['Architecture'],7,False,Great Wall of China,['Colosseum'],3,71000,2.0,1.92,96,4.4,3
72,28,"['Architecture', 'Art', 'Nature']",3,True,Great Wall of China,"['Great Wall of China', 'Colosseum']",6,72000,1.4,2.13,88,4.9,3
73,19,['History'],4,True,Colosseum,['Great Wall of China'],2,73000,2.1,3.5,88,4.4,3
74,26,"['Architecture', 'Art']",4,True,Eiffel Tower,"['Colosseum', 'Taj Mahal', 'Great Wall of China']",5,74000,5.0,3.16,90,4.9,5
75,55,"['Art', 'Nature', 'Cultural']",4,True,Great Wall of China,"['Eiffel Tower', 'Taj Mahal']",3,75000,4.4,3.64,89,5.0,4
76,48,"['Nature', 'History']",3,True,Colosseum,['Eiffel Tower'],3,76000,2.7,3.02,89,4.6,3
77,43,"['Nature', 'Art']",8,False,Eiffel Tower,['Colosseum'],1,77000,4.1,3.02,97,4.1,4
78,28,"['Cultural', 'Art', 'History']",8,False,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",4,78000,4.8,3.88,96,4.8,5
79,46,"['Art', 'Nature']",5,True,Great Wall of China,['Taj Mahal'],1,79000,2.5,4.84,100,4.2,3
80,42,"['Architecture', 'Nature']",8,False,Colosseum,['Eiffel Tower'],1,80000,2.1,1.5,97,4.1,3
81,18,"['Architecture', 'History']",4,False,Eiffel Tower,['Machu Picchu'],1,81000,3.1,3.18,90,4.1,3
82,25,"['Nature', 'Cultural', 'History']",3,True,Eiffel Tower,['Great Wall of China'],2,82000,4.0,4.87,100,4.5,4
83,58,"['Nature', 'Cultural', 'Art']",4,False,Great Wall of China,"['Machu Picchu', 'Eiffel Tower', 'Colosseum']",6,83000,2.2,4.75,91,4.3,3
84,52,"['Art', 'History']",7,False,Colosseum,"['Great Wall of China', 'Taj Mahal']",2,84000,2.5,2.67,90,4.3,3
85,56,"['Cultural', 'History']",7,True,Taj Mahal,['Taj Mahal'],2,85000,3.0,4.79,85,4.2,3
86,51,['Art'],5,True,Taj Mahal,"['Great Wall of China', 'Taj Mahal']",4,86000,4.2,3.02,92,4.3,4
87,20,"['Cultural', 'Nature']",3,False,Machu Picchu,['Machu Picchu'],3,87000,4.1,2.72,94,4.1,4
88,27,"['Architecture', 'Art', 'History']",8,True,Eiffel Tower,"['Taj Mahal', 'Eiffel Tower', 'Colosseum']",5,88000,2.4,4.22,90,4.5,3
89,57,"['Nature', 'History', 'Architecture']",7,False,Taj Mahal,"['Great Wall of China', 'Eiffel Tower', 'Taj Mahal']",5,89000,2.9,3.78,96,4.6,3
90,25,['History'],8,False,Eiffel Tower,"['Taj Mahal', 'Great Wall of China']",3,90000,2.9,1.76,85,4.2,3
91,61,"['Art', 'Cultural']",7,False,Great Wall of China,"['Great Wall of China', 'Colosseum', 'Eiffel Tower']",6,91000,4.8,1.63,88,4.3,5
92,59,"['History', 'Art', 'Nature']",7,False,Taj Mahal,['Colosseum'],2,92000,2.2,4.79,99,4.1,3
93,59,['Art'],4,False,Great Wall of China,"['Taj Mahal', 'Great Wall of China', 'Colosseum']",5,93000,4.4,2.4,90,5.0,4
94,59,"['History', 'Art', 'Cultural']",3,False,Eiffel Tower,"['Great Wall of China', 'Colosseum']",2,94000,1.3,4.09,92,4.1,3
95,44,['History'],4,False,Eiffel Tower,"['Machu Picchu', 'Colosseum']",5,95000,4.8,4.59,88,4.3,5
96,41,['Cultural'],5,False,Taj Mahal,"['Great Wall of China', 'Eiffel Tower']",3,96000,1.8,4.44,99,4.8,3
